freq/Hz	-Im(Z)/Ohm	Re(Z)/Ohm	
9.2288525E+003	3.3918274E+003	6.4661235E+003
6.9032866E+003	3.1345825E+003	7.0205459E+003
5.1200850E+003	2.7922996E+003	7.5523125E+003
3.8163364E+003	2.5745930E+003	7.9698262E+003
2.8472668E+003	2.4789102E+003	8.2959658E+003
2.1256799E+003	2.3992683E+003	8.5706621E+003
1.5855076E+003	2.4122830E+003	9.1308105E+003
1.1818910E+003	2.9170239E+003	9.3615654E+003
8.8141022E+002	2.9625186E+003	9.6528428E+003
6.5768494E+002	3.2879185E+003	1.0060449E+004
4.9078522E+002	3.8868931E+003	1.0507768E+004
3.6605426E+002	4.1999492E+003	1.0832794E+004
2.7299075E+002	5.1692695E+003	1.1362648E+004
2.0376114E+002	6.1579609E+003	1.2363728E+004
1.5199416E+002	7.3755806E+003	1.2763104E+004
1.1343907E+002	8.6544473E+003	1.2930324E+004
8.4593941E+001	9.9169365E+003	1.5388984E+004
6.3082302E+001	1.2274682E+004	1.5631719E+004
4.7063255E+001	1.4760704E+004	1.7020018E+004
3.5101093E+001	1.8213475E+004	1.8670447E+004
2.6181301E+001	2.2437959E+004	2.0439777E+004
1.9531252E+001	2.7522598E+004	2.2497617E+004
1.4575557E+001	3.4222395E+004	2.5228311E+004
1.0880919E+001	4.2587508E+004	2.8324783E+004
8.1042528E+000	5.4060852E+004	3.1982855E+004
6.0468264E+000	6.6502586E+004	3.5925957E+004
4.5106812E+000	8.4912758E+004	4.1533121E+004
3.3674569E+000	1.0850934E+005	4.8755145E+004
2.5136740E+000	1.3485847E+005	5.9850031E+004
1.8744003E+000	1.7556764E+005	7.0843461E+004
1.3970852E+000	2.1719203E+005	8.4427172E+004
1.0433360E+000	2.7329538E+005	1.0056900E+005
7.7705413E-001	3.4477306E+005	1.3431917E+005
5.7999259E-001	4.5307272E+005	1.5451828E+005
4.3258584E-001	5.6181738E+005	2.0652820E+005
3.2293734E-001	7.1551569E+005	2.4107252E+005
2.4074021E-001	9.3333181E+005	3.1424297E+005
1.7979608E-001	1.1706486E+006	3.6572894E+005
1.3415243E-001	1.5140186E+006	5.4640113E+005
9.9904113E-002	1.8926155E+006	6.1625231E+005
1.0000186E+006	1.6235193E+002	4.4945064E+000
7.4598238E+005	2.4751135E+002	2.3929427E+000
5.5648750E+005	3.4051385E+002	2.5675039E+000
4.1512953E+005	4.6832083E+002	1.0326463E+001
3.0967934E+005	6.5928027E+002	2.0405045E+001
2.3101619E+005	8.8097302E+002	1.7695297E+001
1.7232964E+005	1.1888032E+003	3.3106083E+001
1.2855367E+005	1.5854814E+003	4.0117241E+001
9.5902617E+004	2.1261599E+003	1.4567126E+001
7.1537258E+004	2.8463833E+003	1.0147471E+002
5.3369953E+004	3.6555596E+003	2.4326775E+002
3.9814063E+004	5.1900117E+003	-1.7937634E+002
2.9700492E+004	6.6940864E+003	6.3214142E+001
2.2157064E+004	8.9782422E+003	8.6579102E+001
1.6525014E+004	1.1849690E+004	2.7884879E+002
1.2331135E+004	1.6159132E+004	4.9540903E+002
9.2288525E+003	2.2082313E+004	1.8771066E+002
6.9032866E+003	2.8928354E+004	-5.4988117E+001
5.1200850E+003	3.6251590E+004	9.2364789E+002
3.8163364E+003	5.1710105E+004	2.4949875E+003
2.8472668E+003	6.9853953E+004	3.5491597E+003
2.1256799E+003	9.0352789E+004	4.3236475E+003
1.5855076E+003	1.2103413E+005	6.8783008E+003
1.1818910E+003	1.6506194E+005	6.8703145E+003
8.8141022E+002	2.2094602E+005	1.3756500E+004
6.5768494E+002	2.8055841E+005	1.9579346E+004
4.9078522E+002	3.3604588E+005	2.0471166E+004
3.6605426E+002	5.1498556E+005	6.3461727E+004
2.7299075E+002	6.0464544E+005	1.4923498E+005
2.0376114E+002	7.3249994E+005	8.7840125E+004
1.5199416E+002	8.4329781E+005	6.2371050E+005
1.1343907E+002	1.1692051E+006	-2.1717452E+005
8.4593941E+001	8.9446644E+005	7.4991213E+005
6.3082302E+001	1.6269674E+006	4.8350086E+004
4.7063255E+001	2.1842433E+006	6.5600150E+005
3.5101093E+001	-7.4114789E+004	1.8189930E+006
2.6181301E+001	2.6228378E+005	9.2987125E+005
1.9531252E+001	8.5024525E+005	1.6632513E+006
1.4575557E+001	1.9842740E+006	5.6662325E+005
1.0880919E+001	-2.2337990E+006	3.0486048E+006
8.1042528E+000	-1.5297671E+006	3.5422468E+006
6.0468264E+000	7.2335681E+005	2.3515233E+006
4.5106812E+000	1.4466824E+006	2.3897615E+006
3.3674569E+000	2.9714622E+005	3.8644605E+006
2.5136740E+000	1.9166014E+005	4.0122365E+006
1.8744003E+000	6.3874931E+005	3.9971900E+006
1.3970852E+000	1.4205270E+006	6.6742245E+006
1.0433360E+000	4.3833705E+006	5.9160325E+006
7.7705413E-001	3.8162068E+006	4.6899180E+006
5.7999259E-001	6.5314710E+006	3.5654130E+006
4.3258584E-001	3.8281710E+006	8.5360620E+006
3.2293734E-001	-2.0574993E+006	7.1439175E+006
2.4074021E-001	1.2479554E+007	7.5507275E+006
1.7979608E-001	4.9717180E+006	1.6334779E+007
1.3415243E-001	9.5470263E+005	1.4038636E+007
9.9904113E-002	-3.9470663E+006	2.4420074E+007
1.0000186E+006	1.5885039E+002	1.1653393E+001
7.4598238E+005	2.4310732E+002	8.1295109E+000
5.5648750E+005	3.3842456E+002	1.8612928E+001
4.1512953E+005	4.6137637E+002	3.5422459E+001
3.0967934E+005	6.3789374E+002	7.1590141E+001
2.3101619E+005	8.4427716E+002	1.0797826E+002
1.7232964E+005	1.1211141E+003	1.5581821E+002
1.2855367E+005	1.4813544E+003	2.6146027E+002
